Customer_ID,Source_System,Customer_Type,Business_Line,First_Name,Last_Name,Business_Name,Date_of_Birth,SSN_EIN,Email,Phone,Address_Line1,City,State,Zip_Code,Account_Open_Date,Customer_Status,Risk_Rating,KYC_Date,KYC_Status,Annual_Income,Credit_Score,Segment,Branch_ID,Last_Updated
CUST-10054,T24_Core,Individual,Retail Banking,Jennifer,Robinson,,31838,561-23-6626,jennifer.robinson@comcast.net,(286) 716-3827,3184 Broadway,Dayton,OH,91170,40291,Active,Medium,45555,Current,120393,740,Affluent,BR-050,45465
CUST-10250,Salesforce_CRM,Commercial,Commercial Banking,Ste.,Smith,Keystone Bridge Builders,,51-1853212,steven.smith@keystonebridgebuilders.com,(992) 840-5934,7740 Pine Rd,Milwaukee,WI,70073,45217,Active,Medium,44176,Expired,,,Commercial,BR-006,44810
CUST-10017,T24_Core,Individual,Retail Banking,Jessica,Mitchell,,29565,667-26-4143,jessica.mitchell@outlook.com,(880) 588-3851,8408 State St,Kenosha,WI,81376,43748,Active,High,43961,Current,137692,846,Affluent,BR-060,45526
CUST-10146,T24_Core,Small Business,Small Business Banking,Richard,Moore,Eastside Auto Body,,16-2674515,richard.moore@yahoo.com,(240) 497-6901,7583 State St,Bloomington,IN,90426,45607,Active,Medium,45692,Current,181137,635,Small Business,BR-043,45524
CUST-10266,JackHenry_Legacy,Individual,Retail Banking,Mar,Thomas,,23263,917-32-2801,margaret.thomas@comcast.net,,2517 Main St,Green Bay,WI,69482,42113,Active,Low,44318,Current,219436,765,Mass Market,BR-009,45529
CUST-10243,JackHenry_Legacy,Individual,Retail Banking,Steven,Brown,,26720,264-44-8361,,,9922 Dearborn Ave,Joliet,IL,105773,45409,Active,Medium,44014,Current,,741,Mass Market,BR-050,45085
CUST-10213,JackHenry_Legacy,Individual,Retail Banking,Christopher,Jones,,33373,227-69-5982,christopher.jones@comcast.net,(612) 478-9199,2818 State St,Joliet,IL,109083,43327,Inactive,High,44036,Current,183259,678,Mass Market,BR-012,44130
CUST-10249,Dynamics_CRM,Individual,Retail Banking,Michael,Martinze,,22914,526-87-4697,michael.martinez@aol.com,(589) 661-8253,9321 State St,Indianapolis,IN,76265,41926,Active,High,45311,Current,224946,656,Mass Market,BR-034,45694
CUST-10055,T24_Core,Individual,Retail Banking,Michael,Adams,,35986,358-94-3463,michael.adams@hotmail.com,(283) 796-3317,1179 Broadway,Milwaukee,WI,96566,45453,Active,Low,45629,Current,171518,742,Affluent,BR-017,46018
CUST-10014,T24_Core,Individual,Retail Banking,Christopher,Lewis,,28237,355-95-2684,,(998) 773-7658,785 State St,Bloomington,IN,,43804,Active,Low,,Current,218085,720,Affluent,BR-032,45377
CUST-10158,T24_Core,Commercial,Commercial Banking,Steven,Smith,Keystone Bridge Builders,,51-1853212,,(992) 840-5934,7740 Pine Rd,Milwaukee,WI,70073,45217,Active,Medium,44176,Expired,34522801,,Commercial,BR-006,44810
